Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Tue Dec 30 22:35:36 2025
Invocation: foremost -i system.img -o output_folder 
Output directory: /home/jannik/Documents/bullhead-mda89e/image-bullhead-mda89e/output_folder
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: system.img
Start: Tue Dec 30 22:35:36 2025
Length: 1 GB (1997042256 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00178742.jpg 	      51 KB 	   91516048 	 
1:	00113902.gif 	       4 KB 	   58318213 	  (18176 x 17993)
2:	00134910.bmp 	     640 KB 	   69074118 	  (3248742 x 24)
3:	00112607.htm 	       2 KB 	   57655076 	 
4:	00112613.htm 	      84 KB 	   57657988 	 
5:	00113901.htm 	     203 KB 	   58317413 	 
6:	00114308.htm 	    1000 KB 	   58526100 	 
7:	00116387.htm 	     444 KB 	   59590475 	 
8:	00117526.htm 	      101 B 	   60173781 	 
9:	00120775.htm 	      567 B 	   61837244 	 
10:	00121096.htm 	      401 B 	   62001328 	 
11:	00123336.htm 	       96 B 	   63148356 	 
12:	00199443.htm 	       1 KB 	  102115251 	 
13:	00005624.zip 	      61 MB 	    2879588 	 
14:	00162008.zip 	      13 MB 	   82948256 	 
15:	00020936.png 	       94 B 	   10719376 	  (36 x 36)
16:	00020936_1.png 	      192 B 	   10719544 	  (36 x 36)
17:	00020937.png 	      190 B 	   10719812 	  (36 x 36)
18:	00020937_1.png 	      287 B 	   10720088 	  (24 x 24)
19:	00020938.png 	      227 B 	   10720460 	  (48 x 48)
20:	00020939.png 	      404 B 	   10720772 	  (48 x 48)
21:	00020939_1.png 	      464 B 	   10721260 	  (48 x 48)
22:	00020941.png 	      563 B 	   10721808 	  (48 x 48)
23:	00020942.png 	      954 B 	   10722460 	  (72 x 72)
24:	00020944.png 	      632 B 	   10723504 	  (72 x 72)
25:	00020945.png 	       1 KB 	   10724224 	  (41 x 41)
26:	00020948.png 	       1 KB 	   10725860 	  (41 x 41)
27:	00020952.png 	      229 B 	   10727700 	  (36 x 36)
28:	00020953.png 	      279 B 	   10728012 	  (36 x 36)
29:	00020953_1.png 	      280 B 	   10728372 	  (36 x 36)
30:	00020954.png 	      171 B 	   10728744 	  (48 x 48)
31:	00020955.png 	      118 B 	   10729004 	  (24 x 24)
32:	00020955_1.png 	      203 B 	   10729208 	  (36 x 36)
33:	00020956.png 	      404 B 	   10729492 	  (36 x 36)
34:	00020957.png 	      134 B 	   10729988 	  (36 x 36)
35:	00020957_1.png 	      226 B 	   10730208 	  (36 x 36)
36:	00020958.png 	      222 B 	   10730524 	  (36 x 36)
37:	00020958_1.png 	      406 B 	   10730832 	  (36 x 36)
38:	00020959.png 	      610 B 	   10731324 	  (36 x 36)
39:	00020960.png 	      325 B 	   10732024 	  (36 x 36)
40:	00020961.png 	      170 B 	   10732436 	  (1 x 1)
41:	00020962.png 	      244 B 	   10732684 	  (9 x 9)
42:	00020962_1.png 	      212 B 	   10733012 	  (9 x 9)
43:	00020963.png 	      212 B 	   10733308 	  (9 x 9)
44:	00020964.png 	      212 B 	   10733604 	  (9 x 9)
45:	00020964_1.png 	      239 B 	   10733912 	  (21 x 63)
46:	00020965.png 	      240 B 	   10734248 	  (21 x 63)
47:	00020965_1.png 	      840 B 	   10734580 	  (96 x 36)
48:	00020967.png 	       1 KB 	   10735508 	  (96 x 48)
